
==================================================
Training LSTM-AE with sequence length: 2_week | Fold 1 (years: [2005, 2006])
Epoch 08 | Train loss: 0.00907 | Val loss: 0.01226 | Combo score: 0.393 | Smoothed: 0.403 | MCC: 0.162 | REC: 0.335 | PRE: 0.214 | AUC: 0.675 | Threshold: 0.01899
Epoch 09 | Train loss: 0.00834 | Val loss: 0.01072 | Combo score: 0.396 | Smoothed: 0.402 | MCC: 0.163 | REC: 0.421 | PRE: 0.195 | AUC: 0.658 | Threshold: 0.01441
Epoch 10 | Train loss: 0.00747 | Val loss: 0.01016 | Combo score: 0.414 | Smoothed: 0.404 | MCC: 0.206 | REC: 0.425 | PRE: 0.232 | AUC: 0.695 | Threshold: 0.01463
Epoch 11 | Train loss: 0.00697 | Val loss: 0.00922 | Combo score: 0.417 | Smoothed: 0.405 | MCC: 0.202 | REC: 0.556 | PRE: 0.199 | AUC: 0.689 | Threshold: 0.01060
Epoch 12 | Train loss: 0.00650 | Val loss: 0.00851 | Combo score: 0.402 | Smoothed: 0.405 | MCC: 0.178 | REC: 0.444 | PRE: 0.202 | AUC: 0.664 | Threshold: 0.01113
Epoch 13 | Train loss: 0.00607 | Val loss: 0.00874 | Combo score: 0.422 | Smoothed: 0.406 | MCC: 0.218 | REC: 0.495 | PRE: 0.225 | AUC: 0.709 | Threshold: 0.01170
Epoch 14 | Train loss: 0.00575 | Val loss: 0.00843 | Combo score: 0.424 | Smoothed: 0.408 | MCC: 0.226 | REC: 0.472 | PRE: 0.238 | AUC: 0.705 | Threshold: 0.01214
Epoch 15 | Train loss: 0.00545 | Val loss: 0.00816 | Combo score: 0.426 | Smoothed: 0.410 | MCC: 0.233 | REC: 0.423 | PRE: 0.260 | AUC: 0.717 | Threshold: 0.01285
Epoch 16 | Train loss: 0.00528 | Val loss: 0.00814 | Combo score: 0.427 | Smoothed: 0.412 | MCC: 0.239 | REC: 0.401 | PRE: 0.275 | AUC: 0.719 | Threshold: 0.01313
Epoch 17 | Train loss: 0.00510 | Val loss: 0.00769 | Combo score: 0.433 | Smoothed: 0.414 | MCC: 0.251 | REC: 0.454 | PRE: 0.268 | AUC: 0.720 | Threshold: 0.01229
Epoch 18 | Train loss: 0.00500 | Val loss: 0.00770 | Combo score: 0.428 | Smoothed: 0.415 | MCC: 0.244 | REC: 0.378 | PRE: 0.291 | AUC: 0.709 | Threshold: 0.01360
Epoch 19 | Train loss: 0.00490 | Val loss: 0.00778 | Combo score: 0.430 | Smoothed: 0.417 | MCC: 0.247 | REC: 0.389 | PRE: 0.289 | AUC: 0.716 | Threshold: 0.01318
Epoch 20 | Train loss: 0.00488 | Val loss: 0.00770 | Combo score: 0.421 | Smoothed: 0.417 | MCC: 0.232 | REC: 0.348 | PRE: 0.290 | AUC: 0.694 | Threshold: 0.01357
Epoch 21 | Train loss: 0.00479 | Val loss: 0.00842 | Combo score: 0.443 | Smoothed: 0.420 | MCC: 0.263 | REC: 0.579 | PRE: 0.242 | AUC: 0.732 | Threshold: 0.01128
Epoch 22 | Train loss: 0.00469 | Val loss: 0.00797 | Combo score: 0.435 | Smoothed: 0.421 | MCC: 0.251 | REC: 0.483 | PRE: 0.258 | AUC: 0.727 | Threshold: 0.01229
Epoch 23 | Train loss: 0.00455 | Val loss: 0.00762 | Combo score: 0.427 | Smoothed: 0.422 | MCC: 0.237 | REC: 0.409 | PRE: 0.269 | AUC: 0.721 | Threshold: 0.01284
Epoch 24 | Train loss: 0.00442 | Val loss: 0.00746 | Combo score: 0.424 | Smoothed: 0.422 | MCC: 0.221 | REC: 0.509 | PRE: 0.224 | AUC: 0.715 | Threshold: 0.01013
Epoch 25 | Train loss: 0.00434 | Val loss: 0.00748 | Combo score: 0.429 | Smoothed: 0.423 | MCC: 0.240 | REC: 0.436 | PRE: 0.263 | AUC: 0.723 | Threshold: 0.01249
Epoch 26 | Train loss: 0.00426 | Val loss: 0.00802 | Combo score: 0.437 | Smoothed: 0.424 | MCC: 0.260 | REC: 0.401 | PRE: 0.300 | AUC: 0.736 | Threshold: 0.01344
Epoch 27 | Train loss: 0.00417 | Val loss: 0.00733 | Combo score: 0.435 | Smoothed: 0.425 | MCC: 0.252 | REC: 0.470 | PRE: 0.264 | AUC: 0.727 | Threshold: 0.01166
Epoch 28 | Train loss: 0.00410 | Val loss: 0.00721 | Combo score: 0.424 | Smoothed: 0.425 | MCC: 0.231 | REC: 0.384 | PRE: 0.273 | AUC: 0.724 | Threshold: 0.01222
