,ignition_date,state,total_area_ha,log_total_area_ha,fire_count,outlier_type,ignition_cause
266,2006-01-27,Victoria,0.0,0.0,1,None,Not recorded
267,2006-02-01,Queensland,281.0,5.641907070938114,1,None,Not recorded
268,2006-02-02,Queensland,1389.0,7.237059026124737,1,None,Not recorded
269,2006-02-06,Queensland,238.0,5.476463551931511,2,None,Not recorded
270,2006-02-08,South Australia,5.0,1.791759469228055,1,None,Not recorded
271,2006-02-08,Victoria,493.0,6.202535517187923,2,None,Not recorded
272,2006-02-09,New South Wales,432.0,6.07073772800249,2,None,Natural
273,2006-02-10,Queensland,287.0,5.662960480135946,1,None,Not recorded
274,2006-02-11,Victoria,10.0,2.3978952727983707,1,None,Not recorded
275,2006-02-12,Victoria,8.0,2.1972245773362196,1,None,Not recorded
276,2006-02-13,Victoria,0.0,0.0,1,None,Not recorded
277,2006-02-14,Queensland,1.0,0.6931471805599453,1,None,Not recorded
278,2006-02-14,Western Australia,1.0,0.6931471805599453,1,None,Natural
279,2006-02-15,Western Australia,2067.0,7.63433723562832,1,None,Natural
280,2006-02-17,Queensland,1639.0,7.402451520818244,1,None,Not recorded
281,2006-02-17,Victoria,32.0,3.4965075614664802,2,None,Not recorded
282,2006-02-19,Queensland,11.0,2.4849066497880004,1,None,Not recorded
283,2006-02-21,New South Wales,1.0,0.6931471805599453,1,None,Natural
284,2006-02-21,Western Australia,225.0,5.420534999272286,39,None,Natural
285,2006-02-22,New South Wales,53.0,3.9889840465642745,1,None,Natural
286,2006-02-22,Victoria,1.0,0.6931471805599453,2,None,Not recorded
287,2006-02-22,Western Australia,93.0,4.543294782270004,10,None,Natural
288,2006-02-23,New South Wales,44.0,3.8066624897703196,1,None,Natural
289,2006-02-23,Western Australia,4.0,1.6094379124341003,3,None,Natural
290,2006-02-24,Western Australia,2.0,1.0986122886681098,1,None,Natural
291,2006-02-26,Victoria,2.0,1.0986122886681098,1,None,Not recorded
292,2006-02-27,Western Australia,1.0,0.6931471805599453,1,None,Natural
293,2006-03-02,Queensland,160.0,5.081404364984463,1,None,Not recorded
294,2006-03-02,South Australia,0.0,0.0,1,None,Not recorded
295,2006-03-03,Queensland,307.0,5.730099782973574,1,None,Not recorded
296,2006-03-12,Victoria,3080.0,8.033009498596668,1,None,Not recorded
297,2006-03-16,Tasmania,49.0,3.912023005428146,1,None,Natural
298,2006-03-18,Queensland,454.0,6.12029741895095,1,None,Not recorded
299,2006-03-18,Victoria,10.0,2.3978952727983707,1,None,Not recorded
300,2006-04-03,Queensland,31.0,3.4657359027997265,1,None,Not recorded
301,2006-04-09,Queensland,157.0,5.062595033026967,2,None,Not recorded
302,2006-04-10,Queensland,99.0,4.605170185988092,1,None,Not recorded
303,2006-04-11,Queensland,137.0,4.927253685157205,1,None,Not recorded
304,2006-04-22,Queensland,66.0,4.204692619390966,1,None,Not recorded
305,2006-04-25,Queensland,0.0,0.0,1,None,Not recorded
306,2006-04-26,Queensland,145.0,4.983606621708336,1,None,Not recorded
307,2006-04-27,Queensland,135.0,4.912654885736052,1,None,Not recorded
308,2006-04-29,Queensland,1001.0,6.90975328164481,2,None,Not recorded
309,2006-05-01,Queensland,723.0,6.584791392385716,2,None,Not recorded
310,2006-05-02,Queensland,283.0,5.648974238161206,1,None,Not recorded
311,2006-05-03,Queensland,100.0,4.61512051684126,1,None,Not recorded
312,2006-05-04,Queensland,922.0,6.827629234502852,1,None,Not recorded
313,2006-05-06,Queensland,35.0,3.58351893845611,1,None,Not recorded
314,2006-05-07,Queensland,45.0,3.828641396489095,1,None,Not recorded
315,2006-05-08,Queensland,7.0,2.0794415416798357,1,None,Not recorded
316,2006-05-09,Queensland,0.0,0.0,1,None,Not recorded
317,2006-05-10,Queensland,4.0,1.6094379124341003,3,None,Not recorded
318,2006-05-15,Queensland,1.0,0.6931471805599453,1,None,Not recorded
319,2006-05-29,Queensland,661.0,6.495265555937008,2,None,Not recorded
320,2006-05-31,Queensland,1192.0,7.084226422097916,1,None,Not recorded
321,2006-06-02,Western Australia,0.0,0.0,1,None,Natural
322,2006-06-04,Queensland,0.0,0.0,1,None,Not recorded
323,2006-06-06,Queensland,279.0,5.634789603169249,2,None,Not recorded
324,2006-06-16,Victoria,1.0,0.6931471805599453,1,None,Not recorded
325,2006-07-10,Queensland,0.0,0.0,1,None,Not recorded
326,2006-07-12,Queensland,498.0,6.212606095751519,2,None,Not recorded
327,2006-07-24,Queensland,106.0,4.672828834461906,1,None,Not recorded
328,2006-08-01,Queensland,28.0,3.367295829986474,1,None,Not recorded
329,2006-08-07,Queensland,3608.0,8.19118600464279,3,None,Not recorded
330,2006-08-08,Queensland,1841.0,7.518607216815252,2,None,Not recorded
331,2006-08-11,Queensland,2473.0,7.813591552952433,5,None,Not recorded
332,2006-08-12,Queensland,181.0,5.204006687076795,1,None,Not recorded
333,2006-08-14,Queensland,930.0,6.836259277277067,4,None,Not recorded
334,2006-08-16,Victoria,311.0,5.7430031878094825,1,None,Not recorded
335,2006-08-19,Queensland,2896.0,7.9714309977693505,3,None,Not recorded
336,2006-08-22,Queensland,390.0,5.968707559985366,2,None,Not recorded
337,2006-08-23,Queensland,509.0,6.234410725718371,2,None,Not recorded
338,2006-08-25,Queensland,415.0,6.030685260261263,5,None,Not recorded
339,2006-08-28,Queensland,99.0,4.605170185988092,1,None,Not recorded
340,2006-08-31,Queensland,16646.0,9.719985298994011,1,None,Not recorded
341,2006-09-02,Victoria,832.0,6.725033642166843,1,None,Not recorded
342,2006-09-05,Victoria,13.0,2.6390573296152584,1,None,Not recorded
343,2006-09-06,Queensland,9504.0,9.15957325492253,2,None,Not recorded
344,2006-09-07,Queensland,0.0,0.0,1,None,Not recorded
345,2006-09-09,Queensland,526.0,6.267200548541362,3,None,Not recorded
346,2006-09-11,Queensland,1515.0,7.323830566202317,1,None,Not recorded
347,2006-09-14,Queensland,0.0,0.0,1,None,Not recorded
348,2006-09-17,Victoria,22897.0,10.038804849483757,1,None,Not recorded
349,2006-09-18,Queensland,3110.0,8.042699496897637,2,None,Not recorded
350,2006-09-19,Queensland,120.0,4.795790545596741,1,None,Not recorded
351,2006-09-19,Victoria,72.0,4.290459441148391,4,None,Not recorded
352,2006-09-20,Queensland,405.0,6.0063531596017325,2,None,Not recorded
353,2006-09-21,Queensland,510.0,6.236369590203704,2,None,Not recorded
354,2006-09-22,New South Wales,1.0,0.6931471805599453,1,None,Natural
355,2006-09-22,Queensland,100.0,4.61512051684126,1,None,Not recorded
356,2006-09-22,Victoria,5.0,1.791759469228055,1,None,Not recorded
357,2006-09-23,Victoria,16.0,2.833213344056216,1,None,Not recorded
358,2006-09-25,Queensland,79079.0,11.278215277284554,3,None,Not recorded
359,2006-09-27,Queensland,94.0,4.553876891600541,1,None,Not recorded
360,2006-09-28,Queensland,43979.0,10.691490264108753,1,None,Not recorded
361,2006-09-29,Queensland,54.0,4.007333185232471,2,None,Not recorded
362,2006-10-01,Queensland,701.0,6.553933404025811,2,None,Not recorded
363,2006-10-01,South Australia,6.0,1.9459101490553132,1,None,Not recorded
364,2006-10-01,Victoria,62.0,4.143134726391533,1,None,Not recorded
365,2006-10-02,Queensland,18985.0,9.851457144441744,3,None,Not recorded
366,2006-10-03,Queensland,342.0,5.8377304471659395,1,None,Not recorded
367,2006-10-03,Victoria,2.0,1.0986122886681098,1,None,Not recorded
368,2006-10-04,Queensland,1759.0,7.473069088032197,1,None,Not recorded
369,2006-10-04,Victoria,80.0,4.394449154672439,2,None,Not recorded
370,2006-10-05,Queensland,33.0,3.5263605246161616,3,None,Not recorded
371,2006-10-06,Queensland,9.0,2.302585092994046,1,None,Not recorded
372,2006-10-07,Queensland,9198.0,9.126850061477157,2,None,Not recorded
373,2006-10-08,Queensland,1429.0,7.265429723253953,3,None,Not recorded
374,2006-10-09,Queensland,238.0,5.476463551931511,1,None,Not recorded
375,2006-10-10,Queensland,162.0,5.093750200806762,1,None,Not recorded
376,2006-10-10,South Australia,53.0,3.9889840465642745,1,None,Not recorded
377,2006-10-11,Queensland,0.0,0.0,1,None,Not recorded
378,2006-10-11,South Australia,1401.0,7.2456550675945355,3,None,Not recorded
379,2006-10-12,South Australia,4.0,1.6094379124341003,2,None,Not recorded
380,2006-10-12,Victoria,610.0,6.415096959171596,1,None,Not recorded
381,2006-10-13,Queensland,887.0,6.78897174299217,2,None,Not recorded
382,2006-10-13,South Australia,0.0,0.0,3,None,Not recorded
